timestamp,total_w,ac_w,kettle_w,fridge_w,hair_dryer_w,iron_w,washing_machine_w,rice_cooker_w,tv_w,microwave_w,computer_w,fan_w,unknown_w,occupied
2026-04-21T00:00,285.75,0.0,0.0,117.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.93,96.49,1
2026-04-21T00:01,277.59,0.0,0.0,123.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.9,85.96,1
2026-04-21T00:02,294.86,0.0,0.0,122.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.39,92.74,1
2026-04-21T00:03,309.51,0.0,0.0,119.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.15,112.53,1
2026-04-21T00:04,295.74,0.0,0.0,125.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.35,90.72,1
2026-04-21T00:05,280.6,0.0,0.0,119.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.55,84.64,1
2026-04-21T00:06,281.94,0.0,0.0,122.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.99,86.05,1
2026-04-21T00:07,291.69,0.0,0.0,116.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.84,97.66,1
2026-04-21T00:08,171.59,0.0,0.0,124.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66,0
2026-04-21T00:09,309.26,0.0,0.0,112.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.05,113.28,1
2026-04-21T00:10,295.3,0.0,0.0,120.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.14,97.34,1
2026-04-21T00:11,314.27,0.0,0.0,125.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.7,110.59,1
2026-04-21T00:12,293.99,0.0,0.0,117.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.85,93.8,1
2026-04-21T00:13,279.76,0.0,0.0,111.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.27,95.46,1
2026-04-21T00:14,285.79,0.0,0.0,119.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.73,95.36,1
